Team,NBA championships
Boston Celtics,17
Los Angeles,17
Golden State Warriors,7
Chicago Bulls,6
San Antonio Spurs,5
Philadelphia 76ers,3
Detroit Pistons,3
Miami Heat,3
Houston Rockets,2
Milwaukee Bucks,2
